Primer Autor	Año Publicación	Tipo Producto	Journal	Afiliación	Publisher	Base Datos	Citaciones
Kallia, M.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Vamvakidis, S.	2021	JOUR	No encontrado	No encontrado	Common Ground Research Networks	Scopus	0
Yusoff, K.M.	2021	JOUR	No encontrado	No encontrado	Science and Information Organization	Scopus	0
Papadakis, S.	2020	BOOK	No encontrado	No encontrado	IGI Global	Scopus	0
Chan, K.K.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
No encontrado	2021	JOUR	No encontrado	No encontrado	Springer Science and Business Media Deutschland GmbH	Scopus	0
Kellermayer, B.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
No encontrado	2020	JOUR	No encontrado	No encontrado	Tongji University Press	Scopus	0
Wu, Y.	2021	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Álvarez-Herrero, J.-F.	2021	JOUR	No encontrado	No encontrado	Universidad de Sevilla	Scopus	0
Wang, L.	2021	CONF	No encontrado	No encontrado	Springer	Scopus	0
Kite, V.	2021	JOUR	No encontrado	No encontrado	Taylor and Francis Ltd.	Scopus	0
Lachney, M.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Fagerlund, J.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Karachristos, C.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Apiola, M.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Yett, B.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Wang, X.C.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Cano, S.	2021	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Aminger, W.	2021	JOUR	No encontrado	No encontrado	Taylor and Francis Ltd.	Scopus	0
Lai, Y.-H.	2021	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Juškevičienė, A.	2021	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Rich, P.J.	2021	JOUR	No encontrado	No encontrado	Bellwether Publishing, Ltd.	Scopus	0
Fidai, A.	2020	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Liefgreen, A.	2020	JOUR	No encontrado	No encontrado	Academic Press Inc.	Scopus	0
Kang, Y.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
P. Rose, S.	2020	JOUR	No encontrado	No encontrado	SAGE Publications Inc.	Scopus	0
Awoyemi, R.O.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Diaz, F.J.	2020	CONF	No encontrado	No encontrado	IEEE Computer Society	Scopus	0
Desai, M.H.	2020	JOUR	No encontrado	No encontrado	W.B. Saunders	Scopus	0
Ash, M.	2020	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Zakaria, N.I.	2020	JOUR	No encontrado	No encontrado	Horizon Research Publishing	Scopus	0
Singh, P.	2020	JOUR	No encontrado	No encontrado	Horizon Research Publishing	Scopus	0
Ma, Z.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Spieler, B.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Lin, S.-Y.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Loosen, A.M.	2020	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Voon, X.P.	2020	CONF	No encontrado	No encontrado	Asia-Pacific Society for Computers in Education	Scopus	0
Kong, S.-C.	2020	CONF	No encontrado	No encontrado	Asia-Pacific Society for Computers in Education	Scopus	0
Rahman, M.H.	2020	JOUR	No encontrado	No encontrado	Cambridge University Press	Scopus	0
Zakirova, F.M.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Abreu, L.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery, Inc	Scopus	0
Moon, J.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
Taengkasem, K.	2020	CONF	No encontrado	No encontrado	Asia-Pacific Society for Computers in Education	Scopus	0
Gómez-Ramírez, D.A.J.	2020	CONF	No encontrado	No encontrado	IOP Publishing Ltd	Scopus	0
Hanc, J.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Grace, K.P.	2020	JOUR	No encontrado	No encontrado	Society for Neuroscience	Scopus	0
Mao, T.	2020	JOUR	No encontrado	No encontrado	De Gruyter Mouton	Scopus	0
Ríos Félix, J.M.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
Apiola, M.-V.	2020	JOUR	No encontrado	No encontrado	Vrije Universiteit Brussel	Scopus	0
Kahila, J.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
No encontrado	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Eguchi, A.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Bernarda, S.	2020	JOUR	No encontrado	No encontrado	Associacao Iberica de Sistemas e Tecnologias de Informacao	Scopus	0
McGill, M.M.	2020	JOUR	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Hou, H.-Y.	2020	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Pratidhina, E.	2020	JOUR	No encontrado	No encontrado	Sociedad Mexicana de Fisica	Scopus	0
Lee, C.-S.	2020	CONF	No encontrado	No encontrado	Asia-Pacific Society for Computers in Education	Scopus	0
Seymour, B.	2020	JOUR	No encontrado	No encontrado	Academic Press Inc.	Scopus	0
Ghosh, S.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Monjelat, N.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
Silva, J.V.D.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery, Inc	Scopus	0
Kert, S.B.	2020	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Schez-Sobrino, S.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
Pierson, A.E.	2020	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Crollen, V.	2020	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Resnick, M.	2020	JOUR	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Keengwe, J.	2020	BOOK	No encontrado	No encontrado	IGI Global	Scopus	0
Upadhyayula, A.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Valovičová, L.	2020	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Cateté, V.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Quian Quiroga, R.	2020	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Wiggins, G.A.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Corcoran, C.M.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Li, S.	2020	CONF	No encontrado	No encontrado	IOP Publishing Ltd	Scopus	0
Boya-Lara, C.	2020	JOUR	No encontrado	No encontrado	Universidad de Granada	Scopus	0
Guo, M.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Tsutakawa, S.E.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Gong, D.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
Li, Y.	2020	JOUR	No encontrado	No encontrado	Nature Research	Scopus	0
Okumus, S.	2020	JOUR	No encontrado	No encontrado	Vrije Universiteit Brussel	Scopus	0
Ramadhani, R.	2020	CONF	No encontrado	No encontrado	IOP Publishing Ltd	Scopus	0
Strauven, W.	2020	JOUR	No encontrado	No encontrado	SAGE Publications Ltd	Scopus	0
Yett, B.	2020	CONF	No encontrado	No encontrado	Asia-Pacific Society for Computers in Education	Scopus	0
Chioccariello, A.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Mountapmbeme, A.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery, Inc	Scopus	0
De Jong, I.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Krugel, J.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Helmlinger, B.	2020	JOUR	No encontrado	No encontrado	Nature Research	Scopus	0
Arzola-Flores, J.A.	2020	JOUR	No encontrado	No encontrado	Sociedad Mexicana de Fisica	Scopus	0
Ahmed, S.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Melo, J.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Chevalier, M.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
Benvenuti, M.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Kumar, V.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery, Inc	Scopus	0
Vieira, J.M.F.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery, Inc	Scopus	0
Chan, S.-W.	2020	CONF	No encontrado	No encontrado	Asia-Pacific Society for Computers in Education	Scopus	0
Michaeli, T.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Havens, S.	2020	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Valente, A.	2020	CONF	No encontrado	No encontrado	Asia-Pacific Society for Computers in Education	Scopus	0
LATIH, R.	2020	JOUR	No encontrado	No encontrado	Little Lion Scientific	Scopus	0
Hutchins, N.M.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
Arnedo-Moreno, J.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Daikoku, T.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
No encontrado	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Kynigos, C.	2020	JOUR	No encontrado	No encontrado	Blackwell Publishing Ltd	Scopus	0
Fuhrmann, L.L.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
García-Peñalvo, F.J.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Haas, A.	2020	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Trilles, S.	2020	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Srisangngam, P.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Güzelci, O.Z.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Davies, K.	2020	JOUR	No encontrado	No encontrado	SAGE Publications Ltd	Scopus	0
Caplan, S.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Lei, H.	2020	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Wang, Y.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Voorgang, B.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Pinto, J.D.	2020	JOUR	No encontrado	No encontrado	IEEE Computer Society	Scopus	0
Zhou, C.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
de Oliveira Dias, M.	2020	JOUR	No encontrado	No encontrado	Lutheran University of Brazil	Scopus	0
Wait, E.C.	2020	JOUR	No encontrado	No encontrado	Company of Biologists Ltd	Scopus	0
Malik, P.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Zhao, M.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Hébert, C.	2020	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Yang, D.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Karakaş, E.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Wong, G.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Chen, C.	2020	JOUR	No encontrado	No encontrado	Blackwell Publishing Ltd	Scopus	0
Sivaraj, R.	2020	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Rodríguez-García, J.D.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Benetti, E.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Aslina, Y.R.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Di Lella, F.A.	2020	JOUR	No encontrado	No encontrado	Frontiers Media S.A.	Scopus	0
Usodo, B.	2020	CONF	No encontrado	No encontrado	IOP Publishing Ltd	Scopus	0
Fanny, B.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Maiorana, F.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery, Inc	Scopus	0
Elshahawy, M.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Xue, C.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Barbero, G.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Lockwood, E.	2020	JOUR	No encontrado	No encontrado	Elsevier Inc.	Scopus	0
Bryce, S.	2020	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc	Scopus	0
Lloyd, M.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
Jormanainen, I.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Gaikwad, S.N.S.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Ke, F.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Sharaf, N.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Curasma, R.P.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Gendreau Chakarov, A.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Cabeen, R.P.	2020	JOUR	No encontrado	No encontrado	Oxford University Press	Scopus	0
Gunis, J.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Vuorinen, V.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Vartiainen, H.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Al Mogbil, R.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Ibrahim Haseski, H.	2020	CHAP	No encontrado	No encontrado	IGI Global	Scopus	0
Nunez, N.A.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Johnson Restrepo, D.D.	2020	JOUR	No encontrado	No encontrado	Elsevier B.V.	Scopus	0
Picon, A.	2020	JOUR	No encontrado	No encontrado	Conde Nast Publications, Inc.	Scopus	0
Finch, L.	2020	JOUR	No encontrado	No encontrado	Springer Science and Business Media B.V.	Scopus	0
Valente, A.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Yue, Y.	2020	JOUR	No encontrado	No encontrado	Science Press	Scopus	0
Conde, M.Á.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Winter, V.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery, Inc	Scopus	0
Conte, D.J.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Alden, D.	2020	JOUR	No encontrado	No encontrado	Multidisciplinary Digital Publishing Institute (MDPI)	Scopus	0
Nandan, V.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Dong, X.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Demarle-Meusel, H.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Piazza, A.	2020	JOUR	No encontrado	No encontrado	Universidad de Sevilla	Scopus	0
Abesadze, S.	2020	JOUR	No encontrado	No encontrado	Common Ground Research Networks	Scopus	0
Mouza, C.	2020	JOUR	No encontrado	No encontrado	SAGE Publications Inc.	Scopus	0
Dubey, R.	2020	JOUR	No encontrado	No encontrado	Elsevier Ltd	Scopus	0
Monteiro-Junior, R.S.	2020	JOUR	No encontrado	No encontrado	Churchill Livingstone	Scopus	0
Piedade, J.	2020	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Milicic, G.	2020	JOUR	No encontrado	No encontrado	MDPI AG	Scopus	0
Israel-Fishelson, R.	2020	JOUR	No encontrado	No encontrado	SAGE Publications Inc.	Scopus	0
Da Silva, F.F.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Winter, V.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery, Inc	Scopus	0
O'Callaghan, G.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
de Weck, O.	2020	JOUR	No encontrado	No encontrado	John Wiley and Sons Inc.	Scopus	0
Vartiainen, H.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Bucchiarone, A.	2020	JOUR	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Sherwin, K.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery, Inc	Scopus	0
Gao, Y.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Rottenhofer, M.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Mardi, F.	2020	JOUR	No encontrado	No encontrado	Routledge	Scopus	0
Da Costa, R.C.A.B.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Rahman, M.M.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Kovalkov, A.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Su, S.	2020	JOUR	No encontrado	No encontrado	National University of Defense Technology	Scopus	0
De Jesus, A.M.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Song, Z.	2020	JOUR	No encontrado	No encontrado	BMJ Publishing Group	Scopus	0
Che, H.	2020	JOUR	No encontrado	No encontrado	Frontiers Media S.A.	Scopus	0
Jiang, Y.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Levine, S.	2020	JOUR	No encontrado	No encontrado	National Academy of Sciences	Scopus	0
Clark, J.I.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Storjak, I.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Miquel, M.	2020	JOUR	No encontrado	No encontrado	Frontiers Media S.A.	Scopus	0
Lugo, M.T.	2020	JOUR	No encontrado	No encontrado	GTE-Educational Technology Group, University of the Balearic Islands	Scopus	0
Manrique-Losada, B.	2020	JOUR	No encontrado	No encontrado	Associacao Iberica de Sistemas e Tecnologias de Informacao	Scopus	0
Imbrie, P.K.	2020	CONF	No encontrado	No encontrado	Institute of Electrical and Electronics Engineers Inc.	Scopus	0
Pedersen, B.K.M.K.	2020	CONF	No encontrado	No encontrado	Association for Computing Machinery	Scopus	0
Bhandari, A.	2020	CONF	No encontrado	No encontrado	IEEE Computer Society	Scopus	0
Katai, Z.	2020	JOUR	No encontrado	No encontrado	Springer	Scopus	0
